審議回次,種類,提出回次,提出番号,件名,議案URL,議案要旨,提出法律案,議案審議情報一覧 - 提出日,議案審議情報一覧 - 衆議院から受領／提出日,議案審議情報一覧 - 衆議院へ送付／提出日,議案審議情報一覧 - 先議区分,議案審議情報一覧 - 継続区分,参議院委員会等経過情報 - 本付託日,参議院委員会等経過情報 - 付託委員会等,参議院委員会等経過情報 - 議決日,参議院委員会等経過情報 - 議決・継続結果,参議院本会議経過情報 - 議決日,参議院本会議経過情報 - 議決,参議院本会議経過情報 - 採決態様,参議院本会議経過情報 - 採決方法,参議院本会議経過情報 - 投票結果,衆議院委員会等経過情報 - 本付託日,衆議院委員会等経過情報 - 付託委員会等,衆議院委員会等経過情報 - 議決日,衆議院委員会等経過情報 - 議決・継続結果,衆議院本会議経過情報 - 議決日,衆議院本会議経過情報 - 議決,衆議院本会議経過情報 - 採決態様,衆議院本会議経過情報 - 採決方法,その他の情報 - 公布年月日,その他の情報 - 法律番号,成立法律
153,法律案（内閣提出）,153,11,防衛庁の職員の給与等に関する法律の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153011.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153110.pdf,,2001-10-19,2001-11-08,,衆先議,,2001-11-14,外交防衛委員会,2001-11-20,可決,2001-11-21,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1121-v008.htm,2001-10-30,安全保障委員会,2001-11-06,可決,2001-11-08,可決,多数,起立,2001-11-28,130,
153,法律案（内閣提出）,153,12,一般職の職員の給与に関する法律の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153012.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153120.pdf,,2001-10-19,2001-11-08,,衆先議,,2001-11-08,総務委員会,2001-11-20,可決,2001-11-21,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1121-v005.htm,2001-10-31,総務委員会,2001-11-06,可決,2001-11-08,可決,多数,起立,2001-11-28,126,
153,法律案（内閣提出）,153,13,特別職の職員の給与に関する法律の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153013.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153130.pdf,,2001-10-19,2001-11-08,,衆先議,,2001-11-08,総務委員会,2001-11-20,可決,2001-11-21,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1121-v006.htm,2001-10-31,総務委員会,2001-11-06,可決,2001-11-08,可決,全会一致,異議の有無,2001-11-28,127,
153,法律案（内閣提出）,153,14,出入国管理及び難民認定法の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153014.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153140.pdf,,2001-10-26,,2001-11-02,本院先議,,2001-10-29,法務委員会,2001-11-01,可決,2001-11-02,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1102-v002.htm,2001-11-15,法務委員会,2001-11-21,可決,2001-11-22,可決,全会一致,異議の有無,2001-11-30,136,
153,法律案（内閣提出）,153,15,特定電気通信役務提供者の損害賠償責任の制限及び発信者情報の開示に関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153015.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153150.pdf,,2001-10-30,,2001-11-09,本院先議,,2001-10-31,総務委員会,2001-11-06,可決,2001-11-09,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1109-v003.htm,2001-11-14,総務委員会,2001-11-20,可決,2001-11-22,可決,全会一致,異議の有無,2001-11-30,137,
153,法律案（内閣提出）,153,16,国家公務員の育児休業等に関する法律及び一般職の職員の勤務時間、休暇等に関する法律の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153016.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153160.pdf,,2001-10-30,2001-11-09,,衆先議,,2001-11-26,総務委員会,2001-11-29,可決,2001-11-30,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1130-v004.htm,2001-10-31,総務委員会,2001-11-08,可決,2001-11-09,可決,全会一致,異議の有無,2001-12-07,142,
153,法律案（内閣提出）,153,17,地方公務員の育児休業等に関する法律の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153017.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153170.pdf,,2001-10-30,2001-11-09,,衆先議,,2001-11-26,総務委員会,2001-11-29,可決,2001-11-30,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1130-v005.htm,2001-10-31,総務委員会,2001-11-08,可決,2001-11-09,可決,全会一致,異議の有無,2001-12-07,143,
153,法律案（内閣提出）,153,18,地方税法等の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153018.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153180.pdf,,2001-10-30,2001-11-08,,衆先議,,2001-11-14,総務委員会,2001-11-22,可決,2001-11-26,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1126-v004.htm,2001-11-02,総務委員会,2001-11-07,可決,2001-11-08,可決,多数,起立,2001-11-30,133,
153,法律案（内閣提出）,153,19,裁判官の育児休業に関する法律の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153019.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153190.pdf,,2001-10-30,2001-11-16,,衆先議,,2001-11-26,法務委員会,2001-11-29,可決,2001-11-30,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1130-v003.htm,2001-11-08,法務委員会,2001-11-16,可決,2001-11-16,可決,全会一致,異議の有無,2001-12-07,144,
153,法律案（内閣提出）,153,20,テロリストによる爆弾使用の防止に関する国際条約の締結に伴う関係法律の整備に関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153020.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153200.pdf,,2001-10-30,2001-11-02,,衆先議,,2001-11-06,外交防衛委員会,2001-11-08,可決,2001-11-09,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1109-v002.htm,2001-10-30,国際テロリズムの防止及び我が国の協力支援活動等に関する特別委員会,2001-11-01,可決,2001-11-02,可決,全会一致,異議の有無,2001-11-16,121,
153,法律案（内閣提出）,153,21,租税特別措置法等の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153021.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153210.pdf,,2001-10-30,2001-11-08,,衆先議,,2001-11-14,財政金融委員会,2001-11-22,可決,2001-11-26,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1126-v006.htm,2001-11-02,財務金融委員会,2001-11-06,可決,2001-11-08,可決,多数,起立,2001-11-30,134,
153,法律案（内閣提出）,153,22,地方交付税法等の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153022.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153220.pdf,,2001-11-09,2001-11-13,,衆先議,,2001-11-14,総務委員会,2001-11-15,可決,2001-11-16,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1116-v004.htm,2001-11-09,総務委員会,2001-11-13,可決,2001-11-13,可決,多数,起立,2001-11-26,122,
153,法律案（内閣提出）,153,23,平成十二年度歳入歳出の決算上の剰余金の処理の特例に関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153023.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153230.pdf,,2001-11-09,2001-11-13,,衆先議,,2001-11-14,財政金融委員会,2001-11-15,可決,2001-11-16,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1116-v005.htm,2001-11-09,財務金融委員会,2001-11-13,可決,2001-11-13,可決,多数,起立,2001-11-26,123,
153,法律案（内閣提出）,153,24,地方公共団体の議会の議員及び長の選挙に係る電磁的記録式投票機を用いて行う投票方法等の特例に関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153024.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153240.pdf,,2001-11-09,2001-11-22,,衆先議,,2001-11-26,政治倫理の確立及び選挙制度に関する特別委員会,2001-11-28,可決,2001-11-30,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1130-v001.htm,2001-11-16,政治倫理の確立及び公職選挙法改正に関する特別委員会,2001-11-21,修正,2001-11-22,修正,全会一致,異議の有無,2001-12-07,147,
153,法律案（内閣提出）,153,25,経済社会の急速な変化に対応して行う中高年齢者の円滑な再就職の促進、雇用の機会の創出等を図るための雇用保険法等の臨時の特例措置に関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153025.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153250.pdf,,2001-11-09,2001-11-27,,衆先議,,2001-11-28,厚生労働委員会,2001-12-06,可決,2001-12-07,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1207-v001.htm,2001-11-16,厚生労働委員会,2001-11-27,可決,2001-11-27,可決,多数,起立,2001-12-14,158,
153,法律案（内閣提出）,153,26,中小企業信用保険法の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153026.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153260.pdf,,2001-11-09,2001-11-22,,衆先議,,2001-11-26,経済産業委員会,2001-11-29,可決,2001-11-30,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1130-v008.htm,2001-11-15,経済産業委員会,2001-11-21,可決,2001-11-22,可決,全会一致,異議の有無,2001-12-07,146,
153,法律案（内閣提出）,153,27,新事業創出促進法の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153027.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153270.pdf,,2001-11-09,2001-11-22,,衆先議,,2001-11-26,経済産業委員会,2001-11-29,可決,2001-11-30,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1130-v009.htm,2001-11-15,経済産業委員会,2001-11-21,可決,2001-11-22,可決,全会一致,異議の有無,2001-12-07,145,
153,法律案（内閣提出）,153,28,国際連合平和維持活動等に対する協力に関する法律の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303153028.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53153280.pdf,,2001-11-20,2001-11-30,,衆先議,,2001-12-03,外交防衛委員会,2001-12-06,可決,2001-12-07,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1207-v004.htm,2001-11-22,安全保障委員会,2001-11-29,可決,2001-11-30,可決,多数,起立,2001-12-14,157,
153,法律案（内閣提出）,151,35,予防接種法の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303151035.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53151350.pdf,,2001-02-20,2001-10-23,,衆先議,衆継続,2001-10-24,厚生労働委員会,2001-10-30,可決,2001-10-31,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1031-v005.htm,2001-09-27,厚生労働委員会,2001-10-19,修正,2001-10-23,修正,多数,起立,2001-11-07,116,
153,法律案（内閣提出）,151,36,育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303151036.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53151360.pdf,,2001-02-20,2001-11-01,,衆先議,衆継続,2001-11-02,厚生労働委員会,2001-11-08,可決,2001-11-09,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1109-v006.htm,2001-09-27,厚生労働委員会,2001-10-31,修正,2001-11-01,修正,全会一致,異議の有無,2001-11-16,118,
153,法律案（内閣提出）,151,60,銀行法等の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303151060.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53151600.pdf,,2001-03-06,2001-10-18,,衆先議,衆継続,2001-10-22,財政金融委員会,2001-11-01,可決,2001-11-02,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1102-v001.htm,2001-09-27,財務金融委員会,2001-10-17,修正,2001-10-18,修正,多数,起立,2001-11-09,117,
153,法律案（内閣提出）,151,64,地方自治法等の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303151064.htm,,,2001-03-09,2001-12-06,,衆先議,衆継続,2001-12-07,総務委員会,2001-12-07,継続審査,2001-12-07,継続審査,多数,起立,,2001-09-27,総務委員会,2001-12-04,可決,2001-12-06,可決,多数,起立,,,
153,法律案（内閣提出）,151,65,地方公共団体の特定の事務の郵政官署における取扱いに関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303151065.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53151650.pdf,,2001-03-09,2001-11-01,,衆先議,衆継続,2001-11-05,総務委員会,2001-11-08,可決,2001-11-09,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1109-v004.htm,2001-09-27,総務委員会,2001-10-30,可決,2001-11-01,可決,多数,起立,2001-11-16,120,
153,法律案（内閣提出）,151,74,独立行政法人等の保有する情報の公開に関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303151074.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/53151740.pdf,,2001-03-16,2001-11-02,,衆先議,衆継続,2001-11-21,総務委員会,2001-11-27,可決,2001-11-28,可決,全会一致,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1128-v001.htm,2001-09-27,総務委員会,2001-11-01,可決,2001-11-02,可決,全会一致,異議の有無,2001-12-05,140,
153,法律案（内閣提出）,151,90,個人情報の保護に関する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15303151090.htm,,,2001-03-27,,,衆先議,衆継続,,,,,,,,,,2001-09-27,内閣委員会,2001-12-07,継続審査,2001-12-07,継続審査,,,,,
153,法律案（衆法）,153,1,国の防衛及び自衛隊による国際協力に関する基本法案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15305153001.htm,,,2001-10-05,,,衆先議,,,,,,,,,,,2001-10-12,国際テロリズムの防止及び我が国の協力支援活動等に関する特別委員会,,,,,,,,,
153,法律案（衆法）,153,2,児童福祉法の一部を改正する法律案,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/meisai/m15305153002.htm,https://www.sangiin.go.jp/japanese/joho1/kousei/gian/153/pdf/5515320.pdf,,2001-10-22,2001-11-01,,衆先議,,2001-11-08,厚生労働委員会,2001-11-22,可決,2001-11-26,可決,多数,押しボタン,https://www.sangiin.go.jp/japanese/joho1/kousei/vote/153/153-1126-v005.htm,2001-10-25,厚生労働委員会,2001-10-31,可決,2001-11-01,可決,多数,起立,2001-11-30,135,
