議員氏名,通称名使用議員の本名,議員個人の紹介ページ,読み方,会派,選挙区,任期満了,写真URL,当選年,当選回数,役職等,役職等の時点,経歴,経歴の時点
石川　博崇,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010006.htm,いしかわ　ひろたか,公明,大阪,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010006.jpg,2010、2016、2022,3,経済産業委員会、行政監視委員会、政治改革に関する特別委員会（理）,2025-06-19,昭和48年9月12日大阪府豊中市生まれ◯平成8年創価大学工学部卒◯同8年外務省入省。イラク・サマーワ等勤務。中東・アラビア語の専門家として、歴代総理の通訳を務めた◯平成22年参議院議員初当選。公明党青年委員長などを経て平成26年防衛大臣政務官（兼）内閣府大臣政務官○平成29年参議院法務委員長○平成30年公明党参議院国会対策委員長○現在参議院決算委員会理事、公明党参議院政策審議会長、同大阪府本部代表,2022-11-30
石田　昌宏,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013010.htm,いしだ　まさひろ,自民,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013010.jpg,2013、2019,2,厚生労働委員会、予算委員会、資源エネルギー・持続可能社会に関する調査会、情報監視審査会,2025-06-19,昭和42年5月20日、奈良県大和郡山市生まれ。父親の転勤に伴い三重県、石川県、東京都、長野県、兵庫県で育つ。兵庫県甲陽学院高等学校を経て、平成2年東京大学医学部保健学科卒業。保健師・看護師。聖路加国際病院、東京武蔵野病院にて看護師として勤務。衆議院議員秘書を経て、平成7年より公益社団法人日本看護協会に勤務、平成10年政策企画室長。平成17年日本看護連盟幹事長。平成25年7月参議院選挙比例代表（全国区）にて初当選○参議院厚生労働委員長、沖縄及び北方問題に関する特別委員長、自民党副幹事長、自民党財務金融部会長代理、自民党厚生労働部会副部会長○現在議院運営委員会理事、厚生労働委員会委員、参議院自民党国会対策委員会副委員長○著書『看護職者のための政策過程入門』（共著）ほか○http：／／www．masahiro－ishida．com／,2022-11-30
石橋　通宏,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010007.htm,いしばし　みちひろ,立憲,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010007.jpg,2010、2016、2022,3,厚生労働委員会、議院運営委員会（理）、政治改革に関する特別委員会,2025-06-19,1965年7月1日、島根県安来市生まれ○1984年、島根県立松江北高校卒業。1988年、中央大学法学部法律学科卒業。1991年、米・アラバマ大学大学院修了（政治学修士号取得）○1992年、全国電気通信労働組合中央本部（現NTT労働組合）入職。1994年、国際自由労連・アジア太平洋地域事務所（在シンガポール）出向。1996年、全電通中央本部国際部主任、国際担当部長など歴任。2001年より、国際労働機関（ILO）国際研修センター勤務（在イタリア）。2006年、ILO東南アジア＆太平洋諸島地域担当サブ地域事務所（在フィリピン）労働者活動担当上級専門官。2009年、情報労連およびNTT労組特別中央執行委員○2010年、第22回参議院議員選挙に比例代表で立候補し、初当選。厚生労働委員会理事、沖縄及び北方問題に関する特別委員長、経済産業委員長など歴任,2022-11-30
磯崎　仁彦,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010008.htm,いそざき　よしひこ,自民,香川,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010008.jpg,2010、2016、2022,3,内閣委員会（理）、政治改革に関する特別委員会（理）、地方創生及びデジタル社会の形成等に関する特別委員会（理）,2025-06-19,昭和32年9月8日、香川県丸亀市生まれ。昭和58年3月、東京大学法学部卒業、同年全日本空輸株式会社（ANA）入社。最終経歴は、CSR推進室リスクマネジメント部長。平成22年3月、同社退社。平成22年7月、参議院選挙香川県選挙区にて、同県初の公募による候補者として初当選。党副幹事長、参議院環境委員長、党環境部会長、経済産業副大臣兼内閣府副大臣歴任○現在内閣官房副長官,2022-11-30
礒崎　哲史,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013011.htm,いそざき　てつじ,民主,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013011.jpg,2013、2019,2,経済産業委員会、懲罰委員会、地方創生及びデジタル社会の形成等に関する特別委員会,2025-06-19,昭和44年4月7日、東京都世田谷区に生まれる。東京都立新宿高等学校を経て、平成5年東京電機大学工学部機械工学科を卒業。平成5年日産自動車株式会社に入社、平成20年日産自動車労働組合副中央執行委員長、平成24年自動車総連特別中央執行委員。平成25年7月参議院議員通常選挙において民主党比例区で初当選○平成25年東日本大震災復興特別委員会理事、平成28年決算委員会理事、政府開発援助等に関する特別委員会理事、令和元年経済産業委員長、令和3年内閣委員会理事,2022-11-30
猪口　邦子,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010009.htm,いのぐち　くにこ,自民,千葉,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010009.jpg,2010、2016、2022,3,外交防衛委員会、予算委員会、外交・安全保障に関する調査会（長）,2025-06-19,1952年千葉県市川市生まれ。桜蔭中学・高校、米コンコードアカデミー高校を経て、75年上智大学卒業。81年上智大学助教授。82年米エール大学政治学博士課程修了。政治学で博士号（Ph．D．）取得。83年ハーバード大学国際問題研究所客員研究員。90年上智大学教授。94～96年防衛問題懇談会委員。96～98年行政改革会議委員。2002～04年軍縮会議日本政府代表部特命全権大使（ジュネーブ）。03年軍縮会議（ジュネーブ）議長。同年国連第1回小型武器中間会合議長。05～09年衆議院議員。05～06年内閣府特命担当大臣（少子化・男女共同参画）。05～14年日本学術会議会員（政治学）。10年第22回参議院通常選挙にて千葉県選挙区から当選。13年～上智大学名誉教授○現在外交・安全保障に関する調査会長○受賞歴、吉野作造賞、NHK「青年の主張」全国最優秀賞○主な著書『戦争と平和』（東京大学出版会）『くにこism』（西村書店）『ポスト覇権システムと日本の選択』（筑摩書房）,2022-11-30
猪瀬　直樹,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022005.htm,いのせ　なおき,維新,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022005.jpg,2022,1,厚生労働委員会、政府開発援助等及び沖縄・北方問題に関する特別委員会、外交・安全保障に関する調査会,2025-06-19,1946年11月20日、長野県飯山市生まれ。信州大学人文学部経済学科卒業、明治大学大学院政治経済学研究科政治学専攻博士前期課程修了。1987年、『ミカドの肖像』により第18回大宅壮一ノンフィクション賞受賞。2002年道路関係四公団民営化推進委員会委員、2007年地方分権推進委員会委員、2001年東京大学大学院人文社会系研究科客員教授、2006年東京工業大学世界文明センター特任教授。2007年から2012年まで東京都副知事、同年から2013年まで東京都知事を務める。2015年から2022年5月まで大阪府・大阪市の特別顧問。作家として、近現代日本が抱える構造的課題の分析を続け、主な関連著書に『昭和16年夏の敗戦』『日本国の研究』（文藝春秋読者賞）『日本国・不安の研究』『カーボンニュートラル革命』がある。代表作『ペルソナ　三島由紀夫伝』『ピカレスク　太宰治伝』等は『日本の近代　猪瀬直樹著作集』に収載,2022-11-30
今井　絵理子,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016010.htm,いまい　えりこ,自民,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016010.jpg,2016、2022,2,内閣委員会、政府開発援助等及び沖縄・北方問題に関する特別委員会、国民生活・経済及び地方に関する調査会,2025-06-19,昭和58年9月22日、沖縄県那覇市生まれ。八雲学園高等学校卒業。平成8年SPEEDのメンバーとして歌手デビュー。同12年ソロとして活動開始。同16年長男を出産、同20年息子の聴覚障がいを公表。NHK「みんなの手話」の司会を歴任し、講演・執筆などを行いながら幅広く活動を展開。同28年参議院議員通常選挙に自由民主党公認で全国比例区より初立候補し、初当選○文教科学委員会委員、議院運営委員会委員、沖縄及び北方問題に関する特別委員会委員、国際経済・外交に関する調査会委員、党青年局次長、党女性局次長、党沖縄振興調査会幹事、党聴覚・視覚・言語障害児支援の在り方に関するPT事務局長を歴任○令和元年9月第4次安倍第2次改造内閣で内閣府大臣政務官○現在文教科学委員会理事、決算委員会委員、政府開発援助等及び沖縄・北方問題に関する特別委員会委員,2022-11-30
岩渕　友,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016011.htm,いわぶち　とも,共産,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016011.jpg,2016、2022,2,経済産業委員会、議院運営委員会（理）、東日本大震災復興特別委員会、外交・安全保障に関する調査会（理）,2025-06-19,1976年10月3日生まれ。福島県喜多方市出身○1999年に福島大学行政社会学部卒業○福島県臨時職員、嘱託職員、消費生活センター相談員を経て、2005年から日本民主青年同盟福島県委員長として、核兵器廃絶等平和運動、若者の雇用問題などに取り組む○2010年に日本共産党福島県委員会常任委員○2010年、2013年の参議院福島選挙区、衆議院選挙で2回、候補者として活動○2011年3月11日に発生した東日本大震災と東京電力福島第一原発事故を受け、日本共産党福島県委員会被災者救援対策本部長として被災者救援活動などに取り組む。2016年参議院選挙で初当選。原発事故被害者に対する賠償の値切り、打ち切りを許さない、「生活と生業の再建に責任果たせ」と一貫して追及。即時原発ゼロ、地域と共生する再生可能エネルギーへの転換などに取り組む○現在経済産業委員、東日本大震災復興特別委員、外交・安全保障に関する調査会理事○党中央委員,2022-11-30
岩本　剛人,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019005.htm,いわもと　つよひと,自民,北海道,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019005.jpg,2019,1,総務委員会（理）、決算委員会、政治改革に関する特別委員会,2025-06-19,昭和39年10月19日、北海道札幌市生まれ○札幌市清田高校、淑徳大学社会福祉学部社会福祉学科卒業○昭和62年石狩開発株式会社入社、平成11年北海道議会議員当選（札幌市清田区選出）以後、連続5期当選。在任中に、議会運営委員長、食と観光対策特別委員長、組織委員長などを歴任。自民党道連においては幹事長、副会長を歴任○令和元年第25回参議院議員通常選挙に初当選、令和3年防衛大臣政務官○現在外交防衛委員会理事、決算委員会委員、災害対策特別委員会委員、国民生活・経済及び地方に関する調査会委員。自民党においては環境部会副部会長、地方組織・議員総局次長、報道局次長、自民党道連副会長、北海道体操連盟会長、北海道車いすテニス協会会長、札幌市ソフトボール協会会長など,2022-11-30
